date_submitted,latitude,longitude,artesian_well,district,traditional_authority,well_images,has_structure,well_structure_type,well_structure_type_other,can_test_flow,seconds_to_fill_20L,use_of_site,other_site_use,seasonal_unavail,area_photos,abstraction_nearby,abstraction_count,abs1_name,abs1_latitude,abs1_longitude,abs1_method,abs1_region,recharge_known,recharge_other,river_nearby,has_operator,mgmt_type,mgmt_type_other
4/3/2024,-15.298405,35.006885,Meleka 2 artesian well,Balaka,TA Nkaya,https://api.mwater.co/v3/images/206a64b194bd4fd7bc64f816dbeae1a0; https://api.mwater.co/v3/images/588b41fcca2f492387c41c8fb3f165c6; https://api.mwater.co/v3/images/5788fe40e5d54be992f93075782e069e; https://api.mwater.co/v3/images/fa920e3ad83c4fc38a1753f7d9cdd7eb,Yes,Hand Pump,NA,Yes,243.323,Domestic,Irrigation,No,https://api.mwater.co/v3/images/29c1865953064a09905c2e8ccf2f5da4; https://api.mwater.co/v3/images/dc5d3e2e96cf4b61a3cc7d7cb3ce47aa,Yes,1,Tabu potato Garden,-15.2983242,35.0066376,GPS,TA Nkaya,NA,NA,NA,NA,NA,NA
4/3/2024,-15.2886109,35.0102415,Msunuzi Artesian well 1,Balaka,TA Nkaya,https://api.mwater.co/v3/images/92bd789c0a2c4a40a74e61438c949785; https://api.mwater.co/v3/images/35e637994fa54fc5a3aeddb654d9b6cc; https://api.mwater.co/v3/images/475eb784b8374452a4b1e2a231c3f155,Yes,Hand Pump,NA,Yes,64.12,Domestic,Irrigation and fish farming,No,https://api.mwater.co/v3/images/127fbf6f9b724970ac7ccc399de77f16; https://api.mwater.co/v3/images/fa914749de0649c3b8258ee1912405bb,Yes,5,Mbuambua fish pond 1,-15.2882983,35.0103467,GPS,TA Nkaya,NA,NA,NA,NA,NA,NA
4/3/2024,-15.3765234,34.9852344,Mulangeni artesian well,Blantyre,TA Chigalu,https://api.mwater.co/v3/images/3d7632482a30449a8df249f29bf77653; https://api.mwater.co/v3/images/c7d203530046468ab98c5385f8ecba06,Yes,Other,A failed capping on a reticulated water system,Yes,23.655,Domestic,Irrigation,No,https://api.mwater.co/v3/images/a0a672c6548841d08ab1baff4a0fbd02; https://api.mwater.co/v3/images/3103e3857c3248919b359fb94b510d1b,Yes,3,Gogo Edward rice garden,-15.3760667,34.985365,GPS,TA Chigaru,NA,NA,NA,NA,NA,NA
4/3/2024,-15.4958,35.110935,Jordan Artesian well,Blantyre,TA Lundu,https://api.mwater.co/v3/images/259f2c6a64e04de3abb96b4162d5835a; https://api.mwater.co/v3/images/742d690385f84c1fae283abc5a75a1d4,Yes,Capped,NA,Yes,92.973,Domestic,Irrigation and fish farming,No,https://api.mwater.co/v3/images/208371e867934525baa5054d0e84b9f5; https://api.mwater.co/v3/images/16962ee415e247f7a6266deb8eb1f153; https://api.mwater.co/v3/images/1525e9dd10ad46809da3f12546aae9aa; https://api.mwater.co/v3/images/702b3d4f671f43cab129b0a1f4718887,Yes,3,Muleza fish pond 1,-15.4957591,35.1108952,GPS,TA Lundu,NA,NA,NA,NA,NA,NA
4/4/2024,-15.646915,35.0211767,Pasani Artesian,Blantyre,TA Kapeni,https://api.mwater.co/v3/images/a9cb9f672b4344d8bcd28f6ee987e778,Yes,Cased,NA,Yes,361.442,Domestic,Irrigation,No,https://api.mwater.co/v3/images/15fde686d062444491a814397e81e323,Yes,1,Vegetable garden,-15.6468198,35.0212399,GPS,TA Kapeni,NA,NA,NA,NA,NA,NA
4/4/2024,-15.9172031,34.9364805,Ndire,Blantyre,TA Somba,https://api.mwater.co/v3/images/4491cfd484f54a89a3145e1fe18b80bd,Yes,Hand Pump,NA,Yes,46.6,Domestic,Irrigation,No,https://api.mwater.co/v3/images/e03812509f794cefa961f0d55de477c3,No,0,NA,NA,NA,NA,NA,No,NA,Yes,No,NA,NA
4/4/2024,-15.11052892,35.25760811,sangala Artesian well,Liwonde,Sitola,https://api.mwater.co/v3/images/b086ebc03ac940d7992e850108d641c0; https://api.mwater.co/v3/images/67a2e9a0119648b89b9cb41b31ac44e7; https://api.mwater.co/v3/images/72c19b4d8d4b41099f2b7298fa4c4780,Yes,Hand Pump,NA,No,0,Domestic,Its only used for domestic use,No,https://api.mwater.co/v3/images/61719c729b70488dabfd50064e8684ab; https://api.mwater.co/v3/images/7db53827db8f4982a2beadb1359719be; https://api.mwater.co/v3/images/563654dd37bf4e92bc559788e2aea545,No,0,NA,NA,NA,NA,NA,No,NA,No,Yes,Water Point Committee,NA
4/4/2024,-15.10979373,35.24553147,Mtalika Artesian Well,Machinga,Sitola,https://api.mwater.co/v3/images/2ce9ed8ad4a242d582e203de44893af9; https://api.mwater.co/v3/images/4567c76720ba42db9b7870c89abc3b83; https://api.mwater.co/v3/images/4760dec2de56454e8950e3e926669dc9,Yes,Hand Pump,NA,Yes,184.438,Domestic,Irrigation e.g Rice farming,No,https://api.mwater.co/v3/images/1115a5f11de94c00a65c1da5e38a0800; https://api.mwater.co/v3/images/e940cd41bea34d72a28d0c96e6909f5b,Yes,3,Kapalamula Borehole,-15.11029249,35.24721391,GPS,SC Sitola,NA,NA,NA,NA,NA,NA
4/4/2024,-16.0368716,34.911564,Chikhabado Artesian well,Chikwawa,TA Maseya,https://api.mwater.co/v3/images/2189e78bd3bc4e458db258b85956934e; https://api.mwater.co/v3/images/7c251caf9316422b9f6957a2b22efc89,Yes,Other,There was a hand pump but it was removed,No,0,Domestic,Irrigation,No,https://api.mwater.co/v3/images/7e9aa97492a14a4d8b9c205211fe600f; https://api.mwater.co/v3/images/433495a57eb94dd99642c0c18e40bff8; https://api.mwater.co/v3/images/bf1e818711e04d53bf47a74b5f00e6d4,Yes,2,Vegetable garden,-16.036945,34.9116567,GPS,TA Maseya,NA,NA,NA,NA,NA,NA
4/4/2024,-15.5645532,34.500249,Kanduku 1,Mwanza,TA Nthache,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/4/2024,-15.1132932,35.236767,Mulipo artesian well,Machinga,Sitola,https://api.mwater.co/v3/images/e60ce0f649ae4f228055dd9eee487ac4,Yes,Hand Pump,NA,Yes,92.418,Domestic,Farming (small scale rice irrigation system,No,https://api.mwater.co/v3/images/2e4688559b984424b754bdda96797901; https://api.mwater.co/v3/images/ea9c8c50d9de4bdeb8f91f28dfc96fc0,Yes,2,Mliwo-subiri artesian well,-15.1140018,35.2379018,GPS,SC Sitola,NA,NA,NA,NA,NA,NA
4/4/2024,-15.1140511,35.2378519,Mliwo- subiri artesian well 2,Machinga,Stola,https://api.mwater.co/v3/images/8904d3da4b584dc88f7e98fdfe9536bd; https://api.mwater.co/v3/images/6d79d2d03b1b4735a61f9b9ba1b6c9f0; https://api.mwater.co/v3/images/d87f12870a664e1d80f494987726da74,Yes,Hand Pump,NA,No,0,Domestic,Bannana farming,No,https://api.mwater.co/v3/images/91a6ed611a324b3da147221091798b27; https://api.mwater.co/v3/images/44f99853ddaf4f87a97cf983d4a220bf,Yes,2,Mliwo- chongwe artesian well,-15.112417,35.2372232,GPS,SC Sitola,NA,NA,NA,NA,NA,NA
4/4/2024,-15.114056,35.2378747,Mliwo-chongwe artesian well,Machinga,Stola,https://api.mwater.co/v3/images/d87d698b3a9244b99c11534c2a7e929c; https://api.mwater.co/v3/images/f83e43a877f7426eadcb50611232b613,Yes,Hand Pump,NA,No,0,Domestic,Just domestic use,No,https://api.mwater.co/v3/images/4c10be6e8f7c4e94a2a4aec3afafbd34; https://api.mwater.co/v3/images/02d4656912284647a92a596eeb0fa2ba,Yes,2,Mliwo-subiri artesian well,-15.114055,35.2378741,GPS,SC Sitola,NA,NA,NA,NA,NA,NA
